run_id,table_type,table_m,hash_name,data_n,phase,metric,value
7,doublehash,200003,mul+dh,100000,insert,collisions,38833
7,doublehash,200003,mul+dh,100000,insert,memory_bytes,1000096
7,doublehash,200003,mul+dh,100000,search,time_ns,22368800
7,doublehash,200003,mul+dh,100000,gaps,min,0
7,doublehash,200003,mul+dh,100000,gaps,avg,1.00003
7,doublehash,200003,mul+dh,100000,gaps,max,15
8,doublehash,200003,mix+dh,100000,insert,time_ns,8871700
8,doublehash,200003,mix+dh,100000,insert,collisions,38635
8,doublehash,200003,mix+dh,100000,insert,memory_bytes,1000096
8,doublehash,200003,mix+dh,100000,search,time_ns,5628900
8,doublehash,200003,mix+dh,100000,gaps,min,0
8,doublehash,200003,mix+dh,100000,gaps,avg,1.00003
8,doublehash,200003,mix+dh,100000,gaps,max,18
9,chaining,2000003,mod,100000,insert,time_ns,6433500
9,chaining,2000003,mod,100000,insert,collisions,2536
9,chaining,2000003,mod,100000,insert,memory_bytes,9188688
9,chaining,2000003,mod,100000,search,time_ns,8902100
9,chaining,2000003,mod,100000,structure,chain_top1,3
9,chaining,2000003,mod,100000,structure,chain_top2,3
9,chaining,2000003,mod,100000,structure,chain_top3,3
9,chaining,2000003,mod,100000,gaps,min,0
9,chaining,2000003,mod,100000,gaps,avg,19.51158926813259
9,chaining,2000003,mod,100000,gaps,max,238
9,chaining,2000003,mod,1000000,insert,time_ns,51658400
9,chaining,2000003,mod,1000000,insert,collisions,250384
9,chaining,2000003,mod,1000000,insert,memory_bytes,16777264
9,chaining,2000003,mod,1000000,search,time_ns,64859800
9,chaining,2000003,mod,1000000,structure,chain_top1,7
9,chaining,2000003,mod,1000000,structure,chain_top2,7
9,chaining,2000003,mod,1000000,structure,chain_top3,7
9,chaining,2000003,mod,1000000,gaps,min,0
9,chaining,2000003,mod,1000000,gaps,avg,1.5422179569475605
9,chaining,2000003,mod,1000000,gaps,max,26
9,chaining,2000003,mod,10000000,insert,time_ns,1432814200
9,chaining,2000003,mod,10000000,insert,collisions,25005586
9,chaining,2000003,mod,10000000,insert,memory_bytes,92274736
9,chaining,2000003,mod,10000000,search,time_ns,1752955100
9,chaining,2000003,mod,10000000,structure,chain_top1,19
9,chaining,2000003,mod,10000000,structure,chain_top2,19
9,chaining,2000003,mod,10000000,structure,chain_top3,18
9,chaining,2000003,mod,10000000,gaps,min,0
9,chaining,2000003,mod,10000000,gaps,avg,0.006748736782654131
9,chaining,2000003,mod,10000000,gaps,max,2
10,chaining,2000003,mul,100000,insert,time_ns,41911200
10,chaining,2000003,mul,100000,insert,collisions,2444
10,chaining,2000003,mul,100000,insert,memory_bytes,9188688
10,chaining,2000003,mul,100000,search,time_ns,38989100
10,chaining,2000003,mul,100000,structure,chain_top1,3
10,chaining,2000003,mul,100000,structure,chain_top2,3
10,chaining,2000003,mul,100000,structure,chain_top3,3
10,chaining,2000003,mul,100000,gaps,min,0
10,chaining,2000003,mul,100000,gaps,avg,19.49313468317075
10,chaining,2000003,mul,100000,gaps,max,228
10,chaining,2000003,mul,1000000,insert,time_ns,234708100
10,chaining,2000003,mul,1000000,insert,collisions,250025
10,chaining,2000003,mul,1000000,insert,memory_bytes,16777264
10,chaining,2000003,mul,1000000,search,time_ns,215001300
10,chaining,2000003,mul,1000000,structure,chain_top1,6
10,chaining,2000003,mul,1000000,structure,chain_top2,6
10,chaining,2000003,mul,1000000,structure,chain_top3,6
10,chaining,2000003,mul,1000000,gaps,min,0
10,chaining,2000003,mul,1000000,gaps,avg,1.5406007253418696
10,chaining,2000003,mul,1000000,gaps,max,33
10,chaining,2000003,mul,10000000,insert,time_ns,3601113200
10,chaining,2000003,mul,10000000,insert,collisions,25040709
10,chaining,2000003,mul,10000000,insert,memory_bytes,92274736
10,chaining,2000003,mul,10000000,search,time_ns,4016060500
10,chaining,2000003,mul,10000000,structure,chain_top1,19
10,chaining,2000003,mul,10000000,structure,chain_top2,19
